type,level,skill,topics,japanese,reading,meaning,explanation,formation,example,example_reading,example_meaning,related_vocabulary,related_kanji,source,source_ref,tags,notes
grammar,N5,grammar,verb-forms,辞書形,じしょけい,"Plain/dictionary form, used before certain grammar and in casual speech","The dictionary form is also the plain/casual present tense used with friends and family, and it's the form found in dictionaries — it's the base for potential, volitional, and many later grammar patterns.",Verb base form,毎日走る。,まいにちはしる。,I run every day.,走る;毎日,日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also the form found in dictionaries.
grammar,N5,grammar,verb-forms,ない形,ないけい,Plain negative form,"Formed differently by verb group (godan verbs shift to the a-stem, e.g. 飲む→飲まない; ichidan verbs drop る and add ない). Mastering this early pays off, since dozens of later patterns (なければ、ないで、なくてもいい) build on it.",Verb stem + ない,お酒を飲まない。,おさけをのまない。,I don't drink alcohol.,お酒;ない,飲,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Base for many N4 patterns like 〜なければ。
grammar,N5,grammar,verb-forms,た形,たけい,Plain past form,"た形 follows the exact same sound-change rules as て形 — once you know て形, た形 is essentially free, since you just swap て/で for た/だ.",Verb stem + た,映画を見た。,えいがをみた。,I watched a movie.,映画,見,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Follows the same sound changes as て形。
grammar,N5,grammar,verb-forms,て形,てけい,Connective form linking clauses or actions,"Sound changes depend on the verb's final syllable (う/つ/る→って、ぬ/ぶ/む→んで、く→いて、ぐ→いで、す→して), plus irregulars for する→して and 来る→来て. Arguably the single most important form in Japanese, since permission, requests, and progressive tense all attach to it.",Verb stem + て (with sound changes),朝起きて、顔を洗います。,あさおきて、かおをあらいます。,I wake up in the morning and wash my face.,,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Base for many patterns: てください、ています, etc."
grammar,N5,grammar,verb-forms,〜ましょう,ましょう,"Volitional: ""let's do""","ましょう proposes a joint action and assumes the listener will likely agree, which is why it's often translated ""let's,"" rather than being a genuine question.",Verb stem + ましょう,一緒に行きましょう。,いっしょにいきましょう。,Let's go together.,一緒,一;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Suggests an action to be done together.
grammar,N5,grammar,verb-forms,〜ましょうか,ましょうか,"""Shall I/we...?""","Adding か turns the proposal into an offer or question, checking whether the listener actually wants that action — 行きましょう (let's go, assumed agreement) vs 行きましょうか (shall we go? checking first).",Verb stem + ましょうか,窓を開けましょうか。,まどをあけましょうか。,Shall I open the window?,,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Offers to do something for the listener.
grammar,N5,grammar,verb-forms,〜ませんか,ませんか,"""Won't you...?"" invitation","Phrasing an invitation as a negative question (ませんか instead of ましょう) is considered more polite, since it leaves the listener room to decline without directly rejecting a proposal.",Verb stem + ませんか,一緒に映画を見ませんか。,いっしょにえいがをみませんか。,Won't you watch a movie with me?,映画;一緒,一;見,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Softer and more polite than ましょう。
grammar,N5,grammar,ability,〜ことができます,ことができます,"Expresses ability, ""can do""","This nominalizes the verb (""the act of doing X"") before stating it ""is possible"" — grammatically more roundabout than the direct potential form (食べられる), which is why native speakers favor the potential form in casual speech.",Verb (dictionary form) + ことができます,漢字を読むことができます。,かんじをよむことができます。,I can read kanji.,漢字;読む,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,More formal than the potential verb form.
grammar,N5,grammar,verb-forms,〜ています（進行）,ています,Describes an action in progress,"For an action currently unfolding, ています behaves like English ""-ing"": 今、電話で話しています (I am talking on the phone right now).",Verb て form + います,今、本を読んでいます。,いま、ほんをよんでいます。,I am reading a book now.,,今,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also used for repeated habitual actions.
grammar,N5,grammar,verb-forms,〜ています（状態）,ています,Describes a resulting state after a change,"For a small set of change verbs (結婚する、住む、知る、持つ), ています instead describes the resulting ongoing state, not an action in progress — 結婚しています means ""I am married,"" not ""I am getting married.""",Verb て form + います,結婚しています。,けっこんしています。,I am married.,結婚,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Common with verbs like 知る、住む、持つ。
grammar,N5,grammar,requests-permission,〜てもいいです(か),てもいいです,Asks for or gives permission,"Literally ""even if [I] do X, it's fine"" — asking permission this way is indirect and polite by nature. A blunt refusal (だめです) is common, but native speakers often soften a ""no"" with ちょっと... instead.",Verb て form + もいいです(か),ここで写真を撮ってもいいですか。,ここでしゃしんをとってもいいですか。,May I take a photo here?,いい;写真;ここ,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Answer with はい、いいですよ or いいえ、だめです。
grammar,N5,grammar,requests-permission,〜てください,てください,"Polite request: ""please do""","てください is polite but fairly direct — appropriate for teachers, service staff, or instructions, but with close friends it can feel unnecessarily formal, where a bare て-form request is more natural.",Verb て form + ください,ここに名前を書いてください。,ここになまえをかいてください。,Please write your name here.,ここ;名前,名;前,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Softer than a plain command form.
grammar,N5,grammar,requests-permission,〜てはいけません,てはいけません,"Prohibition: ""must not""","A strong, formal prohibition often seen on signs and rules; in casual speech, だめ or ちゃだめ softens the same meaning considerably.",Verb て form + はいけません,ここで写真を撮ってはいけません。,ここでしゃしんをとってはいけません。,You must not take photos here.,写真;ここ;はい,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Stronger than ないほうがいいです。
grammar,N5,grammar,requests-permission,〜ないでください,ないでください,"""Please don't do""","Built on the plain negative (ない形) plus でください — note this base differs from てはいけません, which uses the plain affirmative て形. Mixing up which base each request pattern needs is a common error.",Verb ない form + でください,ここに駐車しないでください。,ここにちゅうしゃしないでください。,Please don't park here.,ない;ここ,車,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Common on signs and instructions.
grammar,N5,grammar,requests-permission,〜てくださいませんか,てくださいませんか,"Very polite request: ""could you possibly...""","Turning the request into a negative question (くださいませんか instead of ください) adds a layer of humility, similar to how ませんか softens invitations — useful when asking a favor of someone senior to you.",Verb て form + くださいませんか,窓を開けてくださいませんか。,まどをあけてくださいませんか。,Could you please open the window?,,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,More formal/humble than てください。
grammar,N5,grammar,desire,〜たいです,たいです,Expresses the speaker's own desire to do something,"たいです directly expresses the speaker's own first-person desire and behaves like an い-adjective (たかったです、たくないです). It sounds overly direct or even rude used about someone else's wishes, where たがっている is used instead.",Verb stem + たいです,日本へ行きたいです。,にほんへいきたいです。,I want to go to Japan.,,日;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Not usually used to describe others' desires directly; use たがっている。
grammar,N5,grammar,desire,〜がほしいです,がほしいです,Expresses desire for a thing,"が, not を, marks the desired object because ほしい is grammatically an い-adjective (""desirable/wanted""), not a verb. Like たい, it conjugates as an adjective and is typically reserved for the speaker's own wants.",Noun + がほしいです,新しい靴がほしいです。,あたらしいくつがほしいです。,I want new shoes.,新しい,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"が, not を, marks the desired object."
grammar,N5,grammar,existence,あります,あります,Existence of inanimate objects,"あります covers all inanimate existence, including abstract events like meetings or parties (パーティーがあります), and is also used idiomatically for ""having"" something (お金があります), since Japanese doesn't distinguish ""there is"" from ""I have.""",Noun + があります,机の上に本があります。,つくえのうえにほんがあります。,There is a book on the desk.,,上,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also used for events: パーティーがあります。
grammar,N5,grammar,existence,います,います,Existence of animate beings,"います is reserved strictly for animate beings (people, animals) — using あります for a person or pet is a common and noticeable beginner mistake.",Noun + がいます,部屋に猫がいます。,へやにねこがいます。,There is a cat in the room.,部屋,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Used for people and animals, not objects."
grammar,N5,grammar,demonstratives,これ・それ・あれ・どれ,これ・それ・あれ・どれ,"Pronouns for ""this/that/that over there/which one""","These follow a consistent こ/そ/あ/ど pattern found across all demonstrative words: こ- near the speaker, そ- near the listener, あ- far from both, ど- the question form — a pattern worth memorizing once, since it recurs everywhere.",Stand-alone pronoun,それは私のかばんです。,それはわたしのかばんです。,That is my bag.,かばん;それ,私,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"それ = near the listener, あれ = far from both speakers."
grammar,N5,grammar,demonstratives,この・その・あの・どの,この・その・あの・どの,Demonstrative adjectives before a noun,"Unlike これ/それ/あれ/どれ, this set can never stand alone — it must always directly precede a noun, functioning purely as an adjective (""this ~,"" not ""this"").",この/その/あの/どの + Noun,この本は面白いです。,このほんはおもしろいです。,This book is interesting.,面白い;白い;この,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Always followed directly by a noun.
grammar,N5,grammar,demonstratives,ここ・そこ・あそこ・どこ,ここ・そこ・あそこ・どこ,"Pronouns for places: ""here/there/over there/where""","The same near/far logic applies to places as to things; あそこ specifically implies a place visible or known to both speakers, not just any distant place.",Stand-alone pronoun,ここは私の学校です。,ここはわたしのがっこうです。,This is my school.,学校;ここ,私;学;校,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Same near/far pattern as これ・それ・あれ。
grammar,N5,grammar,demonstratives,こちら・そちら・あちら・どちら,こちら・そちら・あちら・どちら,Polite versions of directions/people,"These are the polite register of the this/that series, commonly used to introduce people politely (こちらは田中さんです) or to ask a polite either/or question (どちらがいいですか).",Stand-alone pronoun,こちらは田中さんです。,こちらはたなかさんです。,This is Mr. Tanaka.,こちら;さん,田;中,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Also used politely to mean ""which one"" (choice)."
grammar,N5,grammar,question-words,何（なに/なん）,なに／なん,"""What""","何 shifts to なん before だ/です, before some counters (何人、何時), and before n/d/t sounds generally, while なに is used more as a standalone question or before other consonants — worth listening for in native speech.",Question word,これは何ですか。,これはなんですか。,What is this?,これ,何,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Read なん before です/だ and before some counters.
grammar,N5,grammar,question-words,誰（だれ）,だれ,"""Who""",だれ is neutral in politeness; どなた is the respectful equivalent used when asking about someone senior or a stranger you're addressing formally.,Question word,あの人は誰ですか。,あのひとはだれですか。,Who is that person?,あの,人,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,どなた is the more polite equivalent.
grammar,N5,grammar,question-words,いつ,いつ,"""When""","いつ can be answered with anything from a specific date to a vague time expression (今度、いつか), making it more flexible than asking for a specific 何時 or 何日.",Question word,誕生日はいつですか。,たんじょうびはいつですか。,When is your birthday?,誕生日;いつ;はい,生;日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Answers can be a date, day, or time expression."
grammar,N5,grammar,question-words,どこ,どこ,"""Where""","どこ pairs naturally with に/で/へ depending on whether you're asking about existence, action location, or direction — the particle doesn't change, the following verb determines the meaning.",Question word,トイレはどこですか。,といれはどこですか。,Where is the restroom?,トイレ;どこ,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Part of the こそあど series.
grammar,N5,grammar,question-words,どう・いかが,どう・いかが,"""How"" (asking for an opinion or manner)","どう is casual; いかが is its polite equivalent, commonly heard from service staff (お飲み物はいかがですか, would you like something to drink?).",Question word,味はどうですか。,あじはどうですか。,How does it taste?,どう,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,いかが is the more polite form.
grammar,N5,grammar,question-words,いくつ,いくつ,"""How many"" (counting; also asks age casually)","いくつ literally counts native-counter items (ひとつ、ふたつ...) up to about ten, and by extension is used to casually ask a young child's age instead of the more adult 何歳。",Question word,りんごはいくつありますか。,りんごはいくつありますか。,How many apples are there?,いくつ;はい,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Also used to politely ask a child's age.
